,lower Total_Enrolments,upper Total_Enrolments,Forecast
2026-01-19,0.0,53568.92460522759,0.21892533959394944
2026-01-20,0.0,86459.26682605312,0.7350113273666392
2026-01-21,0.0,60196.41819264182,0.07493872071087736
2026-01-22,0.0,67014.12986175308,0.06615485073587653
2026-01-23,0.0,68989.13812707724,0.0
2026-01-24,0.0,76438.65525888359,0.0
2026-01-25,0.0,96356.75755700897,0.09235813140920418
2026-01-26,0.0,120166.04493385255,0.21992747846902683
2026-01-27,0.0,193113.10540236218,0.7364377660855463
2026-01-28,0.0,133952.17963687785,0.07582248105727331
2026-01-29,0.0,148588.58515240005,0.06703138942784488
2026-01-30,0.0,152447.7433545462,0.0
2026-01-31,0.0,168358.68698119273,0.0
2026-02-01,0.0,211539.1443809002,0.09325621311563317
2026-02-02,0.0,262998.26579731633,0.22093044125209296
2026-02-03,0.0,421171.1354618624,0.7378653775503523
2026-02-04,0.0,291254.7798155048,0.07670696798680818
2026-02-05,0.0,322130.843138935,0.0679086487656725
2026-02-06,0.0,329576.72562035883,0.0
2026-02-07,0.0,363000.68445492216,0.0
2026-02-08,0.0,454878.3884313805,0.09415503317950027
2026-02-09,0.0,564095.8866298122,0.2219342286205233
2026-02-10,0.0,900724.1490110846,0.7392941627252296
2026-02-11,0.0,621306.9224673784,0.07759218209684197
2026-02-12,0.0,685492.4667038416,0.06878662934183802
2026-02-13,0.0,699709.4049989913,0.0
2026-02-14,0.0,768949.3007469785,0.0
2026-02-15,0.0,961404.46154704,0.09505459220784573
2026-02-16,0.0,1189699.3258110436,0.22293884125225044
2026-02-17,0.0,1894990.4147625605,0.7407241225751438
2026-02-18,0.0,1304348.351002058,0.07847812398522576
2026-02-19,0.0,1436125.5687647304,0.06966533174930721
2026-02-20,0.0,1463035.2680785684,0.0
2026-02-21,0.0,1604772.7142769068,0.0
2026-02-22,0.0,2002576.6736274767,0.09595489080820878
2026-02-23,0.0,2473618.9219308165,0.2239442798257641
2026-02-24,0.0,3931777.1230334877,0.7421552580658528
2026-02-25,0.0,2701365.026099397,0.0793647942503022
2026-02-26,0.0,2969030.527899686,0.0705447565815333
2026-02-27,0.0,3019591.175172997,0.0
2026-02-28,0.0,3306771.4322744575,0.0
2026-03-01,0.0,4119681.591726027,0.09685592958862825
2026-03-02,0.0,5080783.200191153,0.22495054502011194
2026-03-03,0.0,8061157.327241525,0.7435875701639094
2026-03-04,0.0,5529785.194918423,0.08025219349090577
2026-03-05,0.0,6068436.250213609,0.07142490443245744
2026-03-06,0.0,6162839.828328853,0.0
2026-03-07,0.0,6739531.377717353,0.0
