,lower Total_Enrolments,upper Total_Enrolments,Forecast
2026-03-10,0.0,14415537.268792136,0.0
2026-03-11,0.0,10345978.490504077,0.0
2026-03-12,0.0,10880935.337390386,0.0
2026-03-13,0.0,11761287.753785918,0.0
2026-03-14,0.0,13401793.034109412,0.0
2026-03-15,0.0,16676795.559269436,0.0
2026-03-16,0.0,22491774.58148086,0.0
2026-03-17,0.0,32694127.42230817,0.0
2026-03-18,0.0,23476161.421675634,0.0
2026-03-19,0.0,24703657.182721313,0.0
2026-03-20,0.0,26717984.60044606,0.0
2026-03-21,0.0,30463601.236615494,0.0
2026-03-22,0.0,37932803.854021564,0.0
2026-03-23,0.0,51194728.11779069,0.0
2026-03-24,0.0,74440288.54176809,0.0
2026-03-25,0.0,53483952.11372077,0.0
2026-03-26,0.0,56316552.033433616,0.0
2026-03-27,0.0,60949396.55049735,0.0
2026-03-28,0.0,69542726.09620424,0.0
2026-03-29,0.0,86656856.97705783,0.0
2026-03-30,0.0,117042650.2745312,0.0
2026-03-31,0.0,170258189.7718325,0.0
2026-04-01,0.0,122409632.94647321,0.0
2026-04-02,0.0,128984766.13339385,0.0
2026-04-03,0.0,139698930.12250575,0.0
2026-04-04,0.0,159517739.30854946,0.0
2026-04-05,0.0,198932230.77506346,0.0
2026-04-06,0.0,268907699.1946361,0.0
2026-04-07,0.0,391367702.7711152,0.0
2026-04-08,0.0,281587112.969547,0.0
2026-04-09,0.0,296942318.74295825,0.0
2026-04-10,0.0,321864506.9265786,0.0
2026-04-11,0.0,367829311.621772,0.0
2026-04-12,0.0,459102852.35063016,0.0
2026-04-13,0.0,621135357.3800042,0.0
2026-04-14,0.0,904516907.7165977,0.0
2026-04-15,0.0,651310296.28529,0.0
2026-04-16,0.0,687393559.595671,0.0
2026-04-17,0.0,745716015.3050975,0.0
2026-04-18,0.0,852950156.3552669,0.0
2026-04-19,0.0,1065548920.4915028,0.0
2026-04-20,0.0,1442930364.3486233,0.0
2026-04-21,0.0,2102569737.3557818,0.0
2026-04-22,0.0,1515250587.7070038,0.0
2026-04-23,0.0,1600582899.1032197,0.0
2026-04-24,0.0,1737922267.5354989,0.0
2026-04-25,0.0,1989636253.144794,0.0
2026-04-26,0.0,2487853910.5069447,0.0
2026-04-27,0.0,3372151182.255687,0.0
2026-04-28,0.0,4917094437.655784,0.0
2026-04-29,0.0,3546675987.119559,0.0
2026-04-30,0.0,3749785161.4664817,0.0
2026-05-01,0.0,4075275358.718957,0.0
2026-05-02,0.0,4669892568.136671,0.0
2026-05-03,0.0,5844834703.750205,0.0
2026-05-04,0.0,7930060649.477456,0.0
2026-05-05,0.0,11571589894.094666,0.0
2026-05-06,0.0,8354074878.696831,0.0
2026-05-07,0.0,8840703889.200285,0.0
2026-05-08,0.0,9617177584.655348,0.0
2026-05-09,0.0,11031010400.847113,0.0
2026-05-10,0.0,13819912538.56689,0.0
2026-05-11,0.0,18769016222.699867,0.0
2026-05-12,0.0,27408722534.633667,0.0
2026-05-13,0.0,19806043171.732357,0.0
2026-05-14,0.0,20979743065.162926,0.0
2026-05-15,0.0,22844464663.104473,0.0
2026-05-16,0.0,26228628601.25274,0.0
2026-05-17,0.0,32892652931.7352,0.0
2026-05-18,0.0,44717254300.37827,0.0
2026-05-19,0.0,65353158119.9366,0.0
2026-05-20,0.0,47270312574.82916,0.0
2026-05-21,0.0,50120278735.24801,0.0
2026-05-22,0.0,54628899364.63963,0.0
2026-05-23,0.0,62784376913.128075,0.0
2026-05-24,0.0,78816173174.18843,0.0
2026-05-25,0.0,107260096178.30821,0.0
2026-05-26,0.0,156886372701.23083,0.0
2026-05-27,0.0,113586805896.30318,0.0
2026-05-28,0.0,120554261414.22414,0.0
2026-05-29,0.0,131530476845.17699,0.0
2026-05-30,0.0,151319992986.81516,0.0
